method,ee_linear_speed_m_s,avg_force_z_error,var_force_z_error,avg_position_error,var_position_error
HFDC,0.47123889803846897,0.16869152342223204,0.03727798903550532,0.003953997012957736,2.1847180796787026e-06
HFDC,0.5026548245743669,0.1815434364521388,0.04295856533012093,0.004026009195851923,2.7111132247735417e-06
HFDC,0.5340707511102649,0.18911238024402094,0.04838255830659506,0.004090850241472377,3.313604500248599e-06
HFDC,0.5654866776461628,0.20270847343149936,0.05596556105543753,0.004175235920165157,4.005215921281497e-06
HFDC,0.5969026041820608,0.21162639865523197,0.06295050396727293,0.004250134037209501,4.7844171913108345e-06
HFDC,0.6283185307179586,0.22624203339502133,0.07287433420322283,0.0043487468494563305,5.668387492319211e-06
HFDC,0.6597344572538567,0.23515951775048974,0.08170956182614471,0.004435529499431652,6.652986409402091e-06
HFDC,0.6911503837897546,0.2489152160688543,0.09461121924182664,0.004550413726834929,7.759700910793425e-06
HFDC,0.7225663103256524,0.25778227684010446,0.10623703574225946,0.004651141640044312,8.984476509397396e-06
HFDC,0.7539822368615504,0.27465130152398726,0.12406266465905613,0.00478439348748257,1.0347251086780016e-05
HFDC,0.7853981633974484,0.2884094151503968,0.14079234997266313,0.004901025911255841,1.1846424183533587e-05
HFDC,0.8168140899333465,0.3110100156129904,0.1669031400791093,0.005054495686346488,1.3493133217204842e-05
HFDC,0.8482300164692442,0.32938221510553234,0.19190676229361114,0.005188722518832785,1.5293673549851036e-05
HFDC,0.8796459430051421,0.3586703018978374,0.23062667671725265,0.005364264739761423,1.725565490029955e-05
HFDC,0.9110618695410401,0.3832060073392986,0.26802239632921304,0.005517130396209993,1.936246629905717e-05
HFDC,0.9424777960769379,0.4212837619400567,0.32488745050642254,0.005713307708881251,2.1543944176393404e-05
HFDC,0.9738937226128359,0.45235701891747665,0.37981096826388405,0.005882746965166268,2.3831792050779248e-05
HFDC,1.0053096491487339,0.4994872666293878,0.4611738051887345,0.006094049157493916,2.5964621801630754e-05
HFDC,1.0367255756846319,0.5408120137735263,0.5399420747036738,0.00626995572572706,2.7965392720781416e-05
HFDC,1.0681415022205298,0.6046332516020719,0.6559766390695816,0.006483700961043047,2.9426386846949747e-05
HFDC,1.0995574287564276,0.6584331871372692,0.7652752861499089,0.006663382527778431,3.046677408526451e-05
HFDC,1.1309733552923256,0.7302821569717647,0.9137931979999213,0.006950147422850263,3.238567422388908e-05
HFDC,1.1623892818282238,0.7930141204442853,1.0552531993254652,0.007313096731721813,3.653607842937415e-05
HFDC,1.1938052083641215,0.8792495507151706,1.2669694167451975,0.007925443814107768,4.9723587959251176e-05
HFDC,1.2252211349000195,0.957293478292261,1.4749323852926992,0.010009667668062508,0.00012755690781100163
HFDC,1.2566370614359172,3.258406344032257,19.562284668303654,0.07921576446107186,0.023789432958583684
HFDC,1.2880529879718152,8.0,0.0,0.3867578644002647,0.05001555289845109
HFDC,1.3194689145077134,7.9996677737466175,0.0003000680746972913,0.3772609300782732,0.029640094409147517
HFDC,1.3508848410436112,8.013677077575728,2.334838868274277,0.3648443109301458,0.016173378768066005
HFDC,1.3823007675795091,8.03028281843025,3.1312824451634773,0.3857349801454363,0.01769582779762071
HFDC,1.4137166941154071,8.0,0.0,0.4571700707606968,0.02100936355208576
HFDC,1.4451326206513049,8.0,0.0,0.4903770279993706,0.018743202520830164
HFDC,1.476548547187203,8.009278947402844,1.1528134279934448,0.32042884479278044,0.019707212703529584
HFDC,1.5079644737231008,2678.7603598999867,1007633.8396197032,0.1798626475983401,0.011399838769826967
HFDC,1.5393804002589988,8.012450990847713,2.6664197101802753,0.4587909775685941,0.029094652392689973
HFDC,1.5707963267948968,8.0,0.0,0.4413408068644413,0.0615041456534235
